,암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
2336,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQzNjEwMDIjNzEjJDEjJDgjJDgz,신우요양병원,28,요양병원,110000,서울,110007,동대문구,,2509,"서울특별시 동대문구 한천로 207, 지하1,지상1,3~6층 (전농동)",02-2214-7582,,20070504,3,0,0,0,2,0,0,0,0,1,0,0,0,0,127.0681414,37.5795407
2342,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,신화요양병원,28,요양병원,110000,서울,110013,영등포구,,7246,"서울특별시 영등포구 영중로 100, (영등포동7가)",02-2632-8114,,20070312,5,0,0,0,5,0,0,0,0,0,0,0,0,0,126.9056672,37.5251061
2354,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQzNjE4MzIjNjEjJDEjJDQjJDgz,아미나요양병원,28,요양병원,110000,서울,110016,종로구,,3175,"서울특별시 종로구 경희궁길 26, 썬타워빌딩 지하1층, 지상2,3,4,5,6,7층 (신문로2가)",02-730-7777,,20210527,2,1,0,0,1,0,0,0,0,0,0,0,0,0,126.9710062,37.5722657
2388,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNTEjJDEjJDYjJDgz,양천효요양병원,28,요양병원,110000,서울,110020,양천구,,7942,"서울특별시 양천구 오목로 121, (신정동, 양천효요양병원)",02-2696-6568,,20070601,2,1,0,0,1,0,0,0,0,0,0,0,0,0,126.8511383,37.5242934
2397,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ2MiQyNjE4MzIjNjEjJDEjJDgjJDgz,에스엠씨요양병원,28,요양병원,110000,서울,110009,마포구,,3948,"서울특별시 마포구 월드컵북로 165, 지하1층~5층 (성산동, SMC)",02-374-3111,,20120803,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.9098646,37.5668808
2418,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,연세베스트요양병원,28,요양병원,110000,서울,110013,영등포구,,7360,"서울특별시 영등포구 여의대방로 203, (신길동, 일이빌딩)",02-6959-9600,,20180405,6,1,0,0,4,0,0,0,0,1,0,0,0,0,126.9220173,37.5053854
2420,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQzNjE0ODEjODEjJDEjJDYjJDgz,연세에덴요양병원,28,요양병원,110000,서울,110015,은평구,녹번동,3382,"서울특별시 은평구 통일로 669, (녹번동)",1577-5046,,20110715,5,1,0,0,3,0,0,0,0,1,0,0,0,0,126.9334089,37.606152
2427,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQxMyQyNjE0ODEjNjEjJDEjJDQjJDgz,연세제일요양병원,28,요양병원,110000,서울,110008,동작구,,6960,"서울특별시 동작구 성대로 43, (상도동, 우리빌딩)",02-3445-7575,,20081215,2,1,0,0,1,0,0,0,0,0,0,0,0,0,126.9336821,37.4989812
2453,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5MiQyNjE4MzIjODEjJDEjJDIjJDgz,오케이요양병원,28,요양병원,110000,서울,110005,구로구,,8218,"서울특별시 구로구 중앙로 64, 고척프라자 가동 4,5층/나동3,4층 (고척동)",02-2616-7755,,20190115,6,0,0,0,4,0,0,0,0,1,0,0,1,0,126.8627487,37.5037585
2463,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz,왕십리휴요양병원,28,요양병원,110000,서울,110007,동대문구,,2589,"서울특별시 동대문구 무학로 88, (용두동, 지하2~지상8층)",02-927-6501,,20121214,7,0,0,0,5,0,0,0,0,2,0,0,0,0,127.0312734,37.5721224
2510,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQwMyQzNjEwMDIjNDEjJDEjJDgjJDgz,은평요양병원,28,요양병원,110000,서울,110015,은평구,,3328,"서울특별시 은평구 통일로 935, (갈현동)",02-384-2311,,20190906,5,0,0,0,3,0,0,0,0,2,0,0,0,0,126.9195408,37.6265278
2552,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQ0NjEwMDIjNjEjJDEjJDQjJDgz,의료법인 미소들노인전문병원,28,요양병원,110000,서울,110005,구로구,,8250,"서울특별시 구로구 고척로21나길 88-41, (개봉동, 미소들병원)",02-3666-1114,,20080225,10,0,0,0,9,0,0,0,0,1,0,0,0,0,126.841198,37.5029058
2557,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNjEjJDEjJDAjJDgz,의료법인 부원의료재단 서초요양병원,28,요양병원,110000,서울,110021,서초구,,6709,"서울특별시 서초구 반포대로9길 42, (서초동)",521-8275,,20071231,3,0,0,0,2,0,0,0,0,1,0,0,0,0,127.0093677,37.4831324
2589,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQzNjEyMjIjNDEjJDEjJDgjJDgz,의료법인 어울림의료재단 정성요양병원,28,요양병원,110000,서울,110005,구로구,,8395,"서울특별시 구로구 남부순환로 1287, 정성요양병원 2.3.5층 남부순환로 107길 1287, 정성요양병원 2.3.5층 남부순환로 107길 24동 (가리봉동)",02-863-8636,,20070808,8,1,0,0,6,0,0,0,0,1,0,0,0,0,126.8938864,37.478969
2645,JDQ4MTg4MSM1MSMkMSMkNCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3OSQyNjE0ODEjNTEjJDEjJDYjJDgz,의료법인 참예원의료재단 서초참요양병원,28,요양병원,110000,서울,110021,서초구,,6768,"서울특별시 서초구 양재대로 54, 지1,2층, 2~9층 (우면동, 서초참병원)",02-6081-2114,,20160311,5,0,0,0,5,0,0,0,0,0,0,0,0,0,127.0253605,37.4597639
2782,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4OSQzNjEwMDIjNDEjJDEjJDgjJDgz,의료법인에이치엠피의료재단녹십초요양병원,28,요양병원,110000,서울,110008,동작구,,7072,"서울특별시 동작구 시흥대로 634, (신대방동)",02-848-0100,,20071023,4,1,0,0,3,0,0,0,0,0,0,0,0,0,126.9066346,37.4883951
2797,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ2MiQyNjE0ODEjODEjJDEjJDYjJDgz,의료법인유라의료재단 온누리요양병원,28,요양병원,110000,서울,110012,성북구,,2775,"서울특별시 성북구 화랑로 271, (장위동)",02-919-2700,,20051207,5,0,0,0,4,0,0,0,0,1,0,0,0,0,127.0587988,37.6121757
2828,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz,의료법인참예원의료재단 성북참요양병원,28,요양병원,110000,서울,110012,성북구,,136851,"서울특별시 성북구 북악산로1길 71, (정릉동)",02-912-2114,,20110426,6,1,0,0,5,0,0,0,0,0,0,0,0,0,127.0051764,37.5976225
2829,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQyIyQ3IyQwMCQzNjE4MzIjNjEjJDEjJDQjJDgz,의료법인참예원의료재단 송파참요양병원,28,요양병원,110000,서울,110018,송파구,,5729,"서울특별시 송파구 마천로 164, 송파참병원 (오금동)",409-2114,,20100226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.137422,37.5035471
2830,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,의료법인참예원의료재단강남구립행복요양병원,28,요양병원,110000,서울,110001,강남구,,6366,"서울특별시 강남구 헌릉로590길 60, (세곡동, 강남구립 행복요양병원)",02-6053-2114,,20140331,8,0,0,0,7,0,0,0,0,0,0,0,1,0,127.1033786,37.4611634
2921,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,재단법인 제중의료복지재단 제중요양병원,28,요양병원,110000,서울,110005,구로구,,8290,"서울특별시 구로구 새말로 60, 제중요양병원 지하2,동 1~9층 (구로동)",02-837-7111,,20180517,6,0,0,0,5,0,0,0,0,1,0,0,0,0,126.8866331,37.5032176
2976,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjNzEjJDEjJDgjJDgz,참요양병원,28,요양병원,110000,서울,110003,강서구,,7702,"서울특별시 강서구 강서로 182, (화곡동)",02-2605-2114,,20010801,5,0,0,0,4,0,0,0,0,1,0,0,0,0,126.839657,37.5428714
3024,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,큰사랑요양병원,28,요양병원,110000,서울,110001,강남구,,6313,"서울특별시 강남구 논현로2길 30, (개포동, 지하2층~1층, 지상1층~6층)",02-3461-4320,,20170531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0527492,37.4730167
3041,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3OSQzNjEwMDIjNTEjJDEjJDYjJDgz,파라솔요양병원,28,요양병원,110000,서울,110025,금천구,,8613,"서울특별시 금천구 시흥대로73길 67, 엠타워 7,8,9,14,지하2층 (시흥동)",02-6951-1245,,20190314,5,0,0,0,2,0,0,0,0,3,0,0,0,0,126.8957474,37.4559426
3051,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3MiQyNjEyMjIjNjEjJDEjJDQjJDgz,퍼스트요양병원,28,요양병원,110000,서울,110006,도봉구,,1365,"서울특별시 도봉구 삼양로 616, 2-5층 (쌍문동)",02-902-3294,,20070522,3,0,0,0,2,0,0,0,0,1,0,0,0,0,127.0140771,37.6580406
3059,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQwMyQyNjE0ODEjNjEjJDEjJDAjJDgz,포근한맘요양병원,28,요양병원,110000,서울,110006,도봉구,,1366,"서울특별시 도봉구 삼양로 606, 2~3층 (쌍문동)",02-986-9977,,20121228,2,0,0,0,1,0,0,0,0,1,0,0,0,0,127.013817,37.6571097
3061,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ2MiQzNjE4MzIjODEjJDEjJDYjJDgz,포레스트요양병원,28,요양병원,110000,서울,110001,강남구,,6026,"서울특별시 강남구 도산대로 209, 포레스트요양병원 (신사동)",02-1899-5868,,20170519,2,0,0,0,1,0,0,0,0,1,0,0,0,0,127.0293906,37.5205044
3067,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQyNjEwMDIjNTEjJDEjJDIjJDgz,푸르메재단 넥슨어린이재활병원,28,요양병원,110000,서울,110009,마포구,,3918,"서울특별시 마포구 월드컵북로 494, 지하1층~7층 (상암동, 푸르메재단넥슨어린이재활병원)",02-6070-9000,,20160323,6,0,0,0,5,0,0,0,1,0,0,0,0,0,126.8805264,37.5846589
3075,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz,플러스요양병원,28,요양병원,110000,서울,110012,성북구,,2708,"서울특별시 성북구 솔샘로1길 19, 그린존 1층~6층 (정릉동)",02-6953-9856,,20220627,4,0,0,0,3,0,0,0,0,1,0,0,0,0,127.003965,37.6083346
3079,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5MiQ0NjEwMDIjNzEjJDEjJDgjJDgz,하나효요양병원,28,요양병원,110000,서울,110015,은평구,,3412,"서울특별시 은평구 서오릉로 149, 세웅그룹빌딩 3~9층 (구산동)",02-356-7007,,20070411,6,1,0,0,4,0,0,0,0,1,0,0,0,0,126.916228,37.6116082
3087,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjEyMjIjNTEjJDEjJDIjJDgz,한걸음요양병원,28,요양병원,110000,서울,110019,중랑구,,2148,"서울특별시 중랑구 망우로 316, 이지팰리스 5~7층 503-2,504,505,601~605,701~705호 (상봉동)",02-493-9700,,20080501,4,0,0,0,3,0,0,0,0,1,0,0,0,0,127.0875551,37.5965182
3092,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz,한국보훈복지의료공단 서울요양병원,28,요양병원,110000,서울,110002,강동구,,5368,"서울특별시 강동구 진황도로61길 53, 중앙보훈병원 (둔촌동)",----02-,,20140204,12,1,0,0,11,0,0,0,0,0,0,0,0,0,127.1481606,37.530634
3094,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ3OSQzNjE0ODEjNjEjJDEjJDQjJDgz,한국효요양병원,28,요양병원,110000,서울,110015,은평구,,3462,"서울특별시 은평구 은평로 170, 6층,7층,8층 (응암동, 상현빌딩동)",02-357-0357,,20140307,8,3,0,0,4,0,0,0,0,0,0,0,1,0,126.9266658,37.601101
3131,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz,햇살요양병원,28,요양병원,110000,서울,110007,동대문구,,2523,"서울특별시 동대문구 장한로 152, 지하1~2층, 지상3 ~10층 (장안동)",02-2244-5533,,20070614,7,2,0,0,4,0,0,0,0,0,0,0,1,0,127.0721814,37.5740057
3169,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,효담요양병원,28,요양병원,110000,서울,110010,서대문구,,3614,"서울특별시 서대문구 통일로 544, (홍은동)",02-395-8880,,20160602,4,0,0,0,2,0,0,0,0,2,0,0,0,0,126.9395703,37.5962615
3172,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQ0NjE0ODEjNTEjJDEjJDYjJDgz,효림요양병원,28,요양병원,110000,서울,110007,동대문구,,2603,"서울특별시 동대문구 천호대로 259-1, (답십리동)",02-962-1123,,20080918,7,0,0,0,6,0,0,0,0,1,0,0,0,0,127.0509535,37.5686483
3178,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQyIyQzIyQwMCQzNjEwMDIjNTEjJDEjJDIjJDgz,효성요양병원,28,요양병원,110000,서울,110024,강북구,,1173,"서울특별시 강북구 삼양로 204, (미아동, 효성요양병원)",02-988-9456,,20070117,4,0,0,0,3,0,0,0,0,1,0,0,0,0,127.0204711,37.6220368
3188,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4OSQyNjE4MzIjNjEjJDEjJDAjJDgz,희망요양병원,28,요양병원,110000,서울,110022,노원구,,1698,"서울특별시 노원구 상계로26길 7, (상계동)",02-936-9966,,20140404,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.0709139,37.6582485
3480,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4MiQzNjE0ODEjODEjJDEjJDIjJDgz,(의) 열린의료재단 동대문열린의원,31,의원,110000,서울,110016,종로구,,3104,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",02-924-0875,,20080610,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0148389,37.573106
3487,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQxMyQzNjE0ODEjNTEjJDEjJDIjJDgz,(의) 열린의료재단 연신내열린의원,31,의원,110000,서울,110015,은평구,갈현동,3330,"서울특별시 은평구 통일로 861, 범일빌딩 6층 (갈현동)",02-383-7313,,20110511,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9202336,37.619775
3488,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,(의) 열린의료재단 영등포열린의원,31,의원,110000,서울,110013,영등포구,,7305,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",02-2676-0832,,20010901,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.90606,37.5165276
3499,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,(의)성광의료재단 차움의원,31,의원,110000,서울,110001,강남구,,6062,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",02-3015-5000,,20100520,24,1,0,0,23,0,0,0,0,0,0,0,0,0,127.0441055,37.5233218
3525,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,(재)한국의학연구소한국중부의원,31,의원,110000,서울,110016,종로구,,3173,"서울특별시 종로구 세종대로23길 54, (당주동)",02-3702-9000,,19940128,37,5,0,0,32,0,0,0,0,0,0,0,0,0,126.9733018,37.5718397
3579,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz,24시열린의원,31,의원,110000,서울,110023,광진구,,5065,"서울특별시 광진구 능동로 90, 3층 (자양동, 더클래식500)",02-455-2475,,20130927,4,2,0,0,2,0,0,0,0,0,0,0,0,0,127.0709719,37.5386303
3580,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,24시열린의원,31,의원,110000,서울,110020,양천구,,7995,"서울특별시 양천구 목동동로 233-1, 109호 (목동, 현대드림타워)",02-2644-2475,,20140822,5,2,0,0,3,0,0,0,0,0,0,0,0,0,126.8715493,37.5275117
3590,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,365mc모인이비인후과의원,31,의원,110000,서울,110019,중랑구,면목동,2214,"서울특별시 중랑구 사가정로 395, (면목동)",02-491-3605,,20040311,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0887031,37.5808378
3606,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ2MiQyNjE4MzIjNTEjJDEjJDIjJDgz,365더튼튼의원,31,의원,110000,서울,110005,구로구,,8269,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",02-2060-9111,,20080220,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.8423266,37.4956425
3610,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ4MiQzNjE4MzIjNjEjJDEjJDQjJDgz,365류마고내과의원,31,의원,110000,서울,110023,광진구,,5119,"서울특별시 광진구 광나루로56길 63, 프라임프라자 501~503호 (구의동)",458-7588,,20100226,3,0,0,0,3,0,0,0,0,0,0,0,0,0,127.0961608,37.5367888
3613,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ5OSQ0NjE0ODEjODEjJDEjJDYjJDgz,365메디의원,31,의원,110000,서울,110024,강북구,,1110,"서울특별시 강북구 삼양로 241, 3층 (미아동)",02-980-0075,,20140317,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.0181088,37.6251172
3618,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ4MiQzNjEyMjIjNjEjJDEjJDgjJDgz,365밝은안과의원,31,의원,110000,서울,110004,관악구,,8754,"서울특별시 관악구 신림로 350, 3층 302호 (신림동, 서원프라자,태영아파트)",02-878-3650,,20130418,5,0,0,0,5,0,0,0,0,0,0,0,0,0,126.9299291,37.4855079
3629,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,365서울연합의원,31,의원,110000,서울,110019,중랑구,망우동,2066,"서울특별시 중랑구 망우로 463, 2층 (망우동)",02-432-7580,,20080617,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.103649,37.600664
3659,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ4OSQzNjEwMDIjNTEjJDEjJDYjJDgz,365열린가정의학과의원,31,의원,110000,서울,110001,강남구,,6207,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",02-565-7119,,20180125,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0547242,37.4973826
3661,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQ3IyQ5OSQyNjEwMDIjNzEjJDEjJDgjJDgz,365열린내과의원,31,의원,110000,서울,110022,노원구,,1790,"서울특별시 노원구 한글비석로 77, 3층 (하계동)",02-976-3658,,20100201,3,1,0,0,2,0,0,0,0,0,0,0,0,0,127.0704701,37.6375651
3668,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz,365열린의원,31,의원,110000,서울,110002,강동구,,5328,"서울특별시 강동구 올림픽로 664, 3층 (천호동, 대우한강베네시티)",02-478-0365,,20100902,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1249758,37.5405554
3679,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQxMyQ0NjEwMDIjNjEjJDEjJDQjJDgz,365웰정형외과재활의학과의원,31,의원,110000,서울,110018,송파구,,5645,"서울특별시 송파구 오금로 239, 365웰빌딩 3,4,5층 1층 103호 (방이동)",02-425-0365,,20220901,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.1202843,37.5066223
3693,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz,365코이이비인후과의원,31,의원,110000,서울,110001,강남구,,6120,"서울특별시 강남구 강남대로118길 12, 부경빌딩 5층 (논현동)",02-540-0442,,20200107,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.0247472,37.5063094
3705,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ5OSQyNjEyMjIjNDEjJDEjJDQjJDgz,365항외과의원,31,의원,110000,서울,110024,강북구,,1073,"서울특별시 강북구 도봉로 333, 8층 (수유동, 정우빌딩)",02-900-0365,,20150703,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.0250751,37.6378733
3708,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,365힐링의원,31,의원,110000,서울,110002,강동구,,5339,"서울특별시 강동구 천호대로 1087, 2층 201호 (천호동, 진넥스빌Ⅲ)",02-475-3650,,20170608,3,2,0,0,1,0,0,0,0,0,0,0,0,0,127.1327526,37.5361797
3712,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzUxIyQxIyQ1IyQwMyQyNjEwMDIjNzEjJDEjJDgjJDgz,41연세빛정신건강의학과의원,31,의원,110000,서울,110020,양천구,,7997,"서울특별시 양천구 목동동로 293, 현대41타워 403호 (목동)",02-6010-7582,,20210602,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.8757769,37.5281774
3714,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ3MiQzNjEwMDIjNTEjJDEjJDIjJDgz,41타워안과의원,31,의원,110000,서울,110020,양천구,,7997,"서울특별시 양천구 목동동로 293, 현대41타워 504,505호 (목동)",02-6959-4107,,20140616,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.8757769,37.5281774
3739,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ4MiQzNjEyMjIjNTEjJDEjJDYjJDgz,BJ 라임의원,31,의원,110000,서울,110004,관악구,남현동,8807,"서울특별시 관악구 과천대로 939, 르메이에르강남타운2 (남현동)",02-588-1110,,20090310,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9814601,37.4743938
3762,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQwMyQ0NjE0ODEjNDEjJDEjJDQjJDgz,Dr홍연합의원,31,의원,110000,서울,110018,송파구,풍납동,5537,"서울특별시 송파구 토성로 58, (풍납동, 도원빌딩 2층)",02-483-0075,,20120601,3,0,0,0,3,0,0,0,0,0,0,0,0,0,127.1160973,37.5290315
3791,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ4OSQzNjEwMDIjNTEjJDEjJDYjJDgz,OK(오케이)하트내과의원,31,의원,110000,서울,110015,은평구,역촌동,3398,"서울특별시 은평구 서오릉로 131, 5층 (역촌동, 구산빌딩)",02-383-3393,,20030123,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.917949,37.6105327
3829,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ3MiQzNjEwMDIjNDEjJDEjJDQjJDgz,YK(와이케이)안과의원,31,의원,110000,서울,110001,강남구,,6091,"서울특별시 강남구 삼성로 651, 5층 502,503,504호 (삼성동, 래미안 라클래시)",512-5975,,20111214,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0500365,37.5183513
3849,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjE0ODEjODEjJDEjJDIjJDgz,가나이비인후과의원,31,의원,110000,서울,110021,서초구,,6599,"서울특별시 서초구 서초중앙로 230, 4층 (반포동, 반포동화프라자)",3482-9901,,20020206,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0120781,37.5021689
